Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Anthony Zeig,M,SBD,Single-ply,,,Boys,69.85,74.8,,,,,163.29,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2013-01-23,USA,TX,La Vega Invitational
Lori Bailey,F,SBD,Raw,47.0,45-49,Masters 45-49,66.68,67.5,85.0,87.5,112.5,,112.5,62.5,67.5,-70.0,,67.5,125.0,137.5,147.5,,147.5,327.5,1,337.21,364.86,297.53,551.47,Yes,,RAW,2018-05-19,USA,,American Challenge
Da'Michael Harvey,M,SBD,Single-ply,,,Boys,88.63,89.8,,,,,226.8,,,,,136.08,,,,,235.87,598.74,2,385.27,385.27,371.4,488.02,Yes,,THSPA,2018-02-03,USA,TX,Rice Bulldog Invitational
Trevor Rumbelow,M,SBD,Single-ply,,,Boys,94.53,99.7,,,,,206.38,,,,,99.79,,,,,208.65,514.83,1,320.96,320.96,308.94,413.01,Yes,,THSPA,2011-01-15,USA,TX,Rusk Invitational
Deborah Patton,F,SBD,Single-ply,,,Open,75.0,75,,,,,175.0,,,,,95.0,,,,,192.5,462.5,1,439.67,439.67,386.76,574.04,Yes,USA,IPF,1986-05-08,Sweden,,Women's World Powerlifting Championships
Joshua Ewald,M,SBD,Single-ply,,,Boys,87.82,89.8,,,,,131.54,,,,,97.52,,,,,158.76,387.82,7,250.77,250.77,241.79,338.09,Yes,,THSPA,2016-01-29,USA,TX,Lehman Lobo Invitational
Trysten Uzzell,M,SBD,Single-ply,,,Boys,76.84,82.1,,,,,136.08,,,,,83.91,,,,,156.49,376.48,6,263.86,263.86,255.1,356.08,Yes,,THSPA,2017-02-09,USA,TX,Granbury Invitational
Nicole Wright,F,SBD,Raw,33.5,24-34,FR-O,54.6,57,105.0,112.5,117.5,,117.5,60.0,65.0,67.5,,67.5,132.5,145.0,147.5,,147.5,332.5,13,399.06,399.06,353.19,616.93,Yes,,USAPL,2015-10-15,USA,,Raw Nationals
Josh Smith #8,M,B,Raw,,35-39,bpsm2,81.69,82.5,,,,,,,,,,135.0,,,,,,135.0,1,90.98,90.98,87.85,555.26,Yes,,NASA,2015-02-28,USA,CO,Colorado State
Lena Dunnam,F,SBD,Single-ply,,,Girls,78.74,82.3,,,,,68.04,,,,,36.29,,,,,81.65,185.97,8,171.7,171.7,150.71,291.53,Yes,,THSWPA,2014-02-06,USA,TX,Hardin
Alina Sarycheva,F,B,Single-ply,16.5,16-17,Open,50.9,52,,,,,,-105.0,-105.0,-105.0,,,,,,,,,DQ,,,,,Yes,Russia,FPR,2016-10-17,Russia,,Russia Bench Press Championships
Hunter Boyd,M,SBD,Raw,17.5,18-19,MR-T2,93.3,105,125.0,137.5,142.5,,142.5,75.0,82.5,-85.0,,82.5,170.0,180.0,187.5,,187.5,412.5,1,258.73,274.26,249.13,352.74,Yes,,USAPL,2017-03-04,USA,TX,Arlington Strength Raw Classic
Vitaliy Chernyavskiy,M,B,Raw,44.0,40-44,Open 24-39,90.0,90,,,,,,170.0,177.5,185.0,,185.0,,,,,,185.0,2,118.1,123.18,113.81,711.86,,Kazakhstan,WRPF,2017-04-29,Kazakhstan,,Asian Championship
Merja Mynttinen,F,B,Single-ply,57.5,55-59,Over 50,80.48,84,,,,,,117.5,-123.0,-123.0,,117.5,,,,,,117.5,1,107.16,135.88,93.94,576.46,Yes,Finland,SVNL,2016-02-07,Finland,,Penkkipunnerruksen SM-kisat kaikille ikäluokille
Roman Reshetov,M,B,Single-ply,23.5,24-34,Open,74.3,75,,,,,,180.0,-190.0,190.0,,190.0,,,,,,190.0,3,136.28,136.28,131.85,637.9,Yes,,UkrainePF,2006-04-17,Ukraine,,Ukrainian Bench Press Championships
Lloyd Strang,M,SBD,Multi-ply,,,Open,135.4,140,340.0,380.0,400.0,,400.0,250.0,-280.0,,,250.0,265.0,305.0,-315.0,,305.0,955.0,2,536.43,536.43,508.99,601.28,,UK,BPC,2009-07-04,England,,British Championships
Ron Mcllwraith,M,SBD,Wraps,61.0,60-64,MR-M,88.3,90,140.0,-160.0,180.0,,180.0,80.0,90.0,-100.0,,90.0,140.0,160.0,180.0,,180.0,450.0,1,290.13,396.32,279.71,407.79,,,WRPF-AUS,2018-06-09,Australia,WA,Western Australian Powerlifting Championships
Mike Gibson,M,B,Multi-ply,23.5,24-34,O,108.1,110,,,,,,-250.0,-250.0,-272.5,,,,,,,,,DQ,,,,,,UK,GPC,2011-11-12,Ireland,,World Championships
Adam Jakobsson,M,B,Raw,,,Open,118.2,120,,,,,,,,,,217.5,,,,,,217.5,1,125.5,125.5,119.85,707.89,Yes,,SSF,2017-07-03,Sweden,,SM-veckan Borås - Klassisk bänkpress
Coby Washburn,M,B,Single-ply,,,Open,100.0,100,,,,,,,,,,265.0,,,,,,265.0,1,161.28,161.28,155.0,679.34,Yes,USA,WABDL,2018-11-13,USA,NV,World Bench Press and Deadlift Championships
Michelle Mens,F,SBD,Raw,,,Open,62.18,63,-125.0,-125.0,-125.0,,,65.0,67.5,70.0,,70.0,125.0,130.0,135.0,,135.0,,DQ,,,,,Yes,Netherlands,NPB,2018-09-22,Netherlands,GE,SBD Cup
Karla Moran,F,SBD,Wraps,,,Amateur Open,64.68,67.5,,,,,115.67,,,,,49.9,,,,,142.88,308.44,3,324.77,324.77,286.68,525.72,Yes,,RPS,2017-11-18,USA,NY,Insurrextion VI
Vojtěch Skála,M,SBD,Raw,15.5,16-17,Open,75.0,83,,,,,135.0,,,,,90.0,,,,,182.5,407.5,5,290.37,328.12,280.88,408.04,Yes,,CSST,2016-10-29,Czechia,,Mistrovství Východních Čech v Klasickém Silovém Trojboji
Luis Obdulio Hernandez,M,SBD,Single-ply,32.5,24-34,Open,81.65,83,-215.0,215.0,-230.0,,215.0,135.0,150.0,-160.0,,150.0,220.0,240.0,-346.0,,240.0,605.0,3,407.84,407.84,393.81,516.13,Yes,Spain,EPF,2017-09-23,Spain,,Arnold's Europe Powerlifting Championships
Marcus Mucheck,M,SBD,Single-ply,29.0,24-34,Open,81.6,82.5,,,,,270.0,,,,,180.0,,,,,265.0,715.0,1,482.17,482.17,465.59,599.37,,,USPA,2015-08-22,USA,KY,Bourbon Barbell Bash
Patricia Maciejewski,F,B,Raw,55.5,55-59,Masters 2,62.91,63,,,,,,82.5,-87.5,-87.5,,82.5,,,,,,82.5,2,88.7,108.65,78.32,662.99,Yes,France,IPF,2017-04-22,USA,TX,World Classic Bench Press Championships
Quentin Weber,M,SBD,Raw,,,Open,92.1,93,,,,,245.0,,,,,150.0,,,,,270.0,,DD,,,,,Yes,,CPU,2017-08-18,Canada,QC,Central Canadian Championship
Charles Cavanaugh,M,SBD,Single-ply,,,Boys,86.18,89.8,,,,,149.69,,,,,81.65,,,,,181.44,412.77,12,269.65,269.65,260.09,359.86,Yes,,THSPA,2012-02-24,USA,TX,Rattler Powerlifting Invitational
Edel Sanchez,M,SBD,Single-ply,,,Boys,69.31,74.8,,,,,115.67,,,,,61.23,,,,,117.93,294.84,26,222.64,222.64,215.79,311.08,Yes,,THSPA,2013-02-02,USA,TX,Levelland Powerlifting Meet
Israel Macharro,M,SBD,Single-ply,,,Boys,50.98,51.7,,,,,151.95,,,,,92.99,,,,,149.69,394.63,2,395.43,395.43,389.04,493.02,Yes,,THSPA,2013-02-23,USA,TX,PSJA Southwest
Maureen Ackerman,F,SBD,Raw,40.5,40-44,Masters 1,62.22,63,107.5,110.0,112.5,,112.5,60.0,-65.0,-65.0,,60.0,132.5,137.5,-142.5,,137.5,310.0,7,336.09,336.09,296.82,537.83,Yes,South Africa,IPF,2016-06-19,USA,TX,World Classic Powerlifting Championships
Christian Salisbury,M,SBD,Raw,17.5,18-19,MR-T3,65.9,66,167.5,182.5,192.5,,192.5,100.0,107.5,-112.5,,107.5,185.0,205.0,217.5,,217.5,517.5,1,406.85,431.26,394.94,597.84,Yes,,USAPL,2018-12-01,USA,TX,Collegiate Cup & Texas Open
Robert K. Huizar,M,SBD,Single-ply,,,M-M2a,127.6,120+,,,,,300.0,,,,,,,,,,,,DQ,,,,,Yes,,USAPL,2014-12-12,USA,MA,American Open
Laney Carrll,F,SBD,Single-ply,,,Girls,51.71,51.9,,,,,83.91,,,,,38.56,,,,,77.11,199.58,5,249.88,249.88,221.54,347.45,Yes,,THSWPA,2019-01-31,USA,TX,Graham Meet
Mallori White,F,SBD,Single-ply,,,Girls,60.87,67.3,,,,,79.38,,,,,45.36,,,,,88.45,213.19,6,235.05,235.05,207.64,343.93,Yes,,THSWPA,2014-02-03,USA,TX,Winnsboro Girls Meet
Nicole Nies-Montes,F,BD,Raw,,,wopen,73.35,75,,,,,,,,,,72.5,,,,,170.0,242.5,1,233.82,233.82,205.84,,Yes,,NASA,2017-03-04,USA,CO,Colorado State
Roy Duås,M,SBD,Single-ply,,,Open,92.5,100,,,,,225.0,,,,,180.0,,,,,230.0,635.0,1,399.93,399.93,385.16,502.14,Yes,,NSF,2005-12-10,Norway,,Klubbstevne
Marc Huchet,M,B,Single-ply,74.5,70-74,Masters 4,80.65,83,,,,,,127.5,-130.0,-130.0,,127.5,,,,,,127.5,2,86.6,155.45,83.65,455.05,Yes,France,EPF,2013-10-17,Bulgaria,,European Masters Bench Press Championships
Alex Anderson,M,SBD,Single-ply,,,Boys,96.25,99.7,,,,,215.46,,,,,131.54,,,,,204.12,551.11,6,340.82,340.82,327.9,433.98,Yes,,THSPA,2010-02-06,USA,TX,Wills Point
Bradley May,M,SBD,Raw,19.5,20-23,MR-Jr,120.5,120+,280.0,-300.0,-305.0,,280.0,165.0,172.5,177.5,,177.5,275.0,300.0,315.0,,315.0,772.5,1,443.7,457.01,423.37,631.28,Yes,UK,EPA,2019-03-30,UK,,South East Classic
Micah Ethington,M,SBD,Single-ply,,,Boys,54.34,55.7,,,,,127.01,,,,,52.16,,,,,133.81,312.98,10,293.55,293.55,287.57,386.65,Yes,,THSPA,2010-03-05,USA,TX,Region 3 Division 1
Daniel Oldham,M,B,Single-ply,,,Open,117.5,117.5,,,,,,,,,,227.5,,,,,,227.5,1,131.46,131.46,125.58,554.85,Yes,,WABDL,2015-05-09,USA,ID,Northern Bar Bending
Lars Dalby Markussen,M,SBD,Single-ply,34.5,24-34,Open,125.0,125,340.0,350.0,-355.0,,350.0,-265.0,265.0,-270.0,,265.0,320.0,330.0,335.0,,335.0,950.0,2,541.35,541.35,515.65,620.75,Yes,Norway,EPF,2009-09-18,Norway,,Western European Cup
Mike Jordan,M,SBD,Raw,28.5,24-34,MR-O,73.95,74,140.0,152.5,165.0,,165.0,120.0,130.0,135.0,,135.0,165.0,177.5,192.5,,192.5,492.5,2,354.43,354.43,342.96,516.3,Yes,,USAPL,2019-03-23,USA,NC,Battle on the Border
Zbigniew Koper,M,D,Raw,65.0,65-69,M 65-69,74.9,75,,,,,,,,,,,145.0,155.0,,,155.0,155.0,2,110.55,163.61,106.94,364.79,,Poland,WUAP,2018-10-15,Slovakia,,World Championships
Karlie Kounce,F,SBD,Single-ply,,,Girls,77.38,82.3,,,,,147.42,,,,,65.77,,,,,136.08,349.27,9,325.76,325.76,286.18,455.0,Yes,,THSWPA,2014-03-14,USA,TX,Girls State Meet
Arrionne Simmons,F,SBD,Wraps,24.0,24-34,F-OR,73.9,75,165.0,-180.0,180.0,,180.0,75.0,-80.0,-80.0,,75.0,165.0,175.0,185.0,-192.5,185.0,440.0,1,422.21,422.21,371.6,709.94,,,GPC-AUS,2015-08-15,Australia,VIC,Melbourne Cup
Dan McCaffrey,M,SBD,Wraps,33.0,24-34,M_O_CR_ABPU,121.5,125,215.0,225.0,235.0,,235.0,90.0,100.0,-105.0,,100.0,190.0,200.0,-207.5,,200.0,535.0,1,306.71,306.71,292.55,409.18,Yes,,BPU,2018-10-06,England,,South Wales Qualifier
Sergey Lazarev,M,B,Multi-ply,57.0,55-59,Open DT,153.5,140+,,,,,,190.0,202.5,215.0,,215.0,,,,,,215.0,1,118.57,150.35,111.88,472.76,Yes,Russia,GPA,2017-11-18,Russia,,World Cup
Ben Burnett,M,SBD,Single-ply,,,Boys,74.3,74.8,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2015-03-28,USA,TX,State Championships Division 1
Sutherland,F,SBD,Single-ply,,,Open,67.5,67.5,,,,,100.0,,,,,60.0,,,,,125.0,285.0,2,290.88,290.88,256.59,409.16,,,CAPO,1992-10-18,Australia,VIC,Australian Nationals
Sophie Démoré,F,SBD,Raw,19.5,20-23,Juniors,59.7,63,,,,,105.0,,,,,52.5,,,,,125.0,282.5,2,316.18,325.67,279.38,497.75,Yes,Canada,CPU,2017-06-03,Canada,ON,Ottawa Open
Phillip Roberts,M,B,Raw,30.0,24-34,Open,88.0,90,,,,,,,,,,180.0,,,,,,180.0,1,116.26,116.26,112.09,703.18,,,USPA,2019-04-06,USA,OH,Iron Dog
Allison Mandell,F,SBD,Raw,22.5,20-23,FR-O,56.9,57,107.5,112.5,120.0,,120.0,-70.0,70.0,72.5,,72.5,132.5,140.0,145.0,,145.0,337.5,1,392.17,392.17,346.78,613.46,Yes,,USAPL,2016-06-05,USA,NJ,New Jersey Summer Classic
Grant Armour,M,SBD,Single-ply,,,Open,125.0,125,,,,,227.5,,,,,170.0,,,,,265.0,662.5,1,377.52,377.52,359.59,448.42,Yes,Canada,CPU,2001-06-09,Canada,BC,BC Summer Open
Ryszard Śliwiński,M,B,Raw,68.0,65-69,M6,74.0,75,,,,,,70.0,-75.0,,,70.0,,,,,,70.0,4,50.35,79.35,48.72,309.04,,Poland,GPC,2018-09-16,Hungary,,World Championships
Gerald Donahue,M,BD,Raw,,,m3,81.69,82.5,,,,,,,,,,102.5,,,,,182.5,285.0,1,192.06,192.06,185.46,,Yes,,NASA,2015-05-02,USA,AZ,Arizona State
Karen Tvedt,F,B,Raw,39.0,35-39,Open,83.8,84,,,,,,70.0,75.0,77.5,,77.5,,,,,,77.5,1,69.19,69.19,60.5,565.99,Yes,Norway,NSF,2016-09-10,Norway,,Regionmesterskap Utstyrsfritt benkpress
Cody Bland,M,SBD,Raw,27.0,24-34,Open,109.0,110,,,,,220.0,,,,,145.0,,,,,237.5,602.5,2,355.57,355.57,340.74,502.75,,,USPA,2018-06-16,USA,KY,4th Annual Bourbon Barbell Bash
Justin Starks,M,SBD,Raw,19.5,20-23,MR-O,69.6,74,170.0,180.0,187.5,,187.5,117.5,122.5,-125.0,,122.5,232.5,245.0,-257.5,,245.0,555.0,1,417.74,430.28,404.84,620.31,Yes,,USAPL,2017-11-04,USA,NY,Ivy League Championships II
Marlo Sandler,F,SBD,Raw,48.5,45-49,FR-M1,50.8,52,85.0,90.0,-92.5,,90.0,55.0,57.5,60.0,,60.0,117.5,125.0,-130.0,,125.0,275.0,5,349.03,382.89,309.69,523.53,Yes,,USAPL,2018-10-11,USA,WA,Raw Nationals
Torfi Ólafsson,M,SBD,Single-ply,20.5,20-23,Open,,125+,,,,,330.0,,,,,200.0,,,,,350.0,880.0,1,,,,,Yes,Iceland,KRAFT,1986-04-05,Iceland,,Íslandsmeistaramót í kraftlyftingum
Vladimír Urban,M,B,Single-ply,31.5,24-34,Open,81.7,82.5,,,,,,220.0,227.5,232.5,,232.5,,,,,,232.5,4,156.67,156.67,151.28,696.61,Yes,Slovakia,IPF,2005-01-12,Sweden,,World Open Bench Press Championships
Hannah Hale,F,SBD,Single-ply,,,Girls,62.87,67.3,,,,,97.52,,,,,43.09,,,,,115.67,256.28,9,275.66,275.66,243.42,387.87,Yes,,THSWPA,2017-01-28,USA,TX,Santo Meet
Rawlin Morrell,M,SBD,Single-ply,,,Boys,54.43,55.7,,,,,,,,,,74.84,,,,,,,DQ,,,,,Yes,,THSPA,2012-01-28,USA,TX,9th Annual Perrin Meet
Jaime Cigarroa,M,SBD,Single-ply,,,Boys,78.93,82.1,,,,,158.76,,,,,74.84,,,,,142.88,376.48,12,259.24,259.24,250.49,350.47,Yes,,THSPA,2014-01-18,USA,TX,Amarillo Highland Park Classic
Andriy Romanko,M,B,Raw,42.0,40-44,Pro O,100.6,110,,,,,,210.0,220.0,-225.0,,220.0,,,,,,220.0,2,133.57,136.24,128.35,787.84,,Ukraine,UPC,2017-10-06,Ukraine,,Ukrainian Cup
来栖 彩,F,B,Single-ply,19.5,20-23,Juniors,59.15,63,,,,,,67.5,72.5,-75.0,,72.5,,,,,,72.5,2,81.73,84.18,72.23,486.57,Yes,,JPA,2018-10-13,Japan,,Japanese Bench Press Championships
Sahludin Šehić,M,D,Raw,40.0,40-44,M 40-44,144.8,140+,,,,,,,,,,,300.0,320.0,-335.0,,320.0,320.0,1,177.94,177.94,168.34,610.37,,Bosnia and Herzegovina,WUAP,2018-10-15,Slovakia,,World Championships
Joseph Perez,M,SBD,Single-ply,,,Boys,88.27,89.8,,,,,183.7,,,,,117.93,,,,,192.78,494.42,4,318.83,318.83,307.38,413.96,Yes,,THSPA,2014-02-08,USA,TX,Industrial PL Meet
K. McIntosh,M,SBD,Single-ply,,,Natural,82.5,82.5,,,,,242.5,,,,,142.5,,,,,,,DQ,,,,,,,USPF,1990-02-22,USA,NV,Natural Nationals
T. Demaske,M,SBD,Single-ply,,,Open,75.0,75,,,,,181.44,,,,,113.4,,,,,199.58,494.42,5,352.3,352.3,340.79,455.18,,,USPF,1980-04-12,USA,OH,Canton Open
Ashley Howland,F,SBD,Raw,32.5,24-34,FR-O,95.4,84+,117.5,125.0,-130.0,,125.0,72.5,77.5,80.0,,80.0,137.5,145.0,147.5,,147.5,352.5,2,297.92,297.92,257.39,514.34,Yes,,USAPL,2018-08-18,USA,MT,Big Iron Classic
David Amburn,M,SBD,Single-ply,,,Boys,76.38,82.1,,,,,124.74,,,,,72.57,,,,,156.49,353.8,9,248.97,248.97,240.73,339.51,Yes,,THSPA,2014-02-06,USA,TX,Lumberjack Powerlifting Invitational
Nick Gurrieri,M,SBD,Raw,23.0,20-23,Open,73.0,75,,,,,170.0,,,,,92.5,,,,,-227.5,,DQ,,,,,,,USPA,2017-06-10,USA,CT,Connecticut State Championships
Fernanda Galvez,F,SBD,Single-ply,,,Girls,52.39,56,,,,,97.52,,,,,47.63,,,,,102.06,247.21,3,306.4,306.4,271.53,404.03,Yes,,THSWPA,2019-02-07,USA,TX,Livingston High School Powerlifting Meet
森本 大地,M,SBD,Single-ply,22.5,20-23,Open,89.3,93,255.0,265.0,272.5,,272.5,155.0,160.0,165.0,,165.0,230.0,240.0,247.5,,247.5,685.0,3,439.05,439.05,423.18,547.73,Yes,,JPA,2014-07-13,Japan,,Japanese Student's Powerlifting Championships
Ronald Jennings,M,SBD,Wraps,,20-23,MJR,79.02,82.5,161.03,172.37,183.7,,183.7,106.59,113.4,120.2,,120.2,181.44,197.31,210.92,,210.92,514.82,1,354.24,354.24,342.28,517.64,,,UPA,2017-12-09,USA,NY,Youth & Novice Powerlifting Meet
Eric Termuhlen,M,D,Raw,,,dlm4,93.89,100,,,,,,,,,,,,,,,155.0,155.0,1,96.94,96.94,93.32,315.99,Yes,,NASA,2019-02-23,USA,,Natural Nationals
Mason Walker,M,SBD,Single-ply,15.0,13-15,Boys,82.19,89.8,,,,,215.46,,,,,131.54,,,,,213.19,560.19,4,376.12,443.83,363.14,480.46,Yes,,THSPA,2015-03-07,USA,TX,Reg 3 Div 1 Regional Championship
J. Egan,M,D,Single-ply,,,Police & Fire,100.0,100,,,,,,,,,,,,,,,262.5,262.5,3,159.75,159.75,153.54,541.2,Yes,,ADFPA,1992-08-15,USA,NY,Deadlift Nationals
Tamara Guerrero,F,SBD,Single-ply,,,Girls,54.84,56,,,,,124.74,,,,,63.5,,,,,124.74,312.98,17,374.34,374.34,331.28,475.24,Yes,,THSWPA,2018-03-16,USA,TX,Girls State Meet
Jacob Young,M,SBD,Raw,25.5,24-34,MR-O,89.3,93,170.0,180.0,-187.5,,180.0,112.5,-120.0,-120.0,,112.5,215.0,222.5,-230.0,,222.5,515.0,3,330.09,330.09,318.15,475.27,Yes,,USAPL,2018-03-24,USA,WA,Seattle Rookie Competition
Javier Camacho,M,SBD,Single-ply,,,Boys,52.98,55.7,,,,,81.65,,,,,47.63,,,,,95.25,224.53,6,216.1,216.1,212.03,303.72,Yes,,THSPA,2015-01-31,USA,TX,Yorktown Invitational
Juan Torres,M,SBD,Single-ply,,,Boys,77.66,82.1,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2019-02-22,USA,TX,Eagle Last Qualifier
Michael Arps,M,SBD,Raw,,,Open,89.2,93,200.0,210.0,220.0,,220.0,127.5,135.0,140.0,,140.0,220.0,240.0,260.0,,260.0,620.0,2,397.62,397.62,383.25,589.88,Yes,,NZPF,2017-06-10,New Zealand,CAN,South Island Championships
Jackie Gedney,F,SBD,Wraps,21.0,20-23,Open,64.6,67.5,,,,,112.5,,,,,67.5,,,,,145.0,325.0,1,342.53,349.38,302.36,555.02,,,USPA,2015-12-12,USA,CA,NORCAL Championships
Meagan Rappelet,F,SBD,Single-ply,,,Girls,39.92,44.2,,,,,,,,,,34.02,,,,,68.04,,DQ,,,,,Yes,,THSWPA,2019-01-09,USA,TX,Jan 10
Marlies Götze,F,B,Raw,23.0,20-23,J,69.3,75,,,,,,60.0,65.0,-70.0,-70.0,65.0,,,,,,65.0,1,65.12,65.12,57.41,518.47,,Germany,GPC,2014-06-02,Czechia,,European Championships
Phil Richard,M,SBD,Single-ply,44.5,40-44,M-E-Open,76.5,83,275.0,291.0,302.5,,302.5,202.5,210.0,215.0,,215.0,235.0,245.0,-260.0,,245.0,762.5,1,536.0,559.04,518.25,660.41,Yes,,BP,2016-12-03,UK,,Home Nations
Cross,M,SBD,Single-ply,,,Submasters 2,90.0,90,,,,,230.0,,,,,170.0,,,,,230.0,630.0,4,402.19,402.19,387.58,506.17,Yes,,NASA,1995-01-26,USA,OK,Natural Nationals
Hanna Svahn,F,B,Single-ply,35.5,35-39,Open,50.0,52,,,,,,85.0,90.0,-92.5,,90.0,,,,,,90.0,4,115.62,115.62,102.66,595.02,Yes,Denmark,EPF,1999-08-06,Hungary,,European Bench Press Championships
Marion Purvis,F,SBD,Single-ply,,,Girls,82.37,90,,,,,81.65,,,,,49.9,,,,,102.06,233.6,4,210.41,210.41,184.19,334.16,Yes,,THSWPA,2017-01-26,USA,TX,HJ MEET
Igor Kazantsev,M,B,Single-ply,34.5,24-34,Open,120.6,125,,,,,,225.0,-235.0,-240.0,,225.0,,,,,,225.0,10,129.21,129.21,123.28,543.38,Yes,,FPR,2003-06-06,Russia,,Russian Bench Press Championships
Toby Eaves,M,B,Raw,,,M-C-M2,117.0,120,,,,,,90.0,100.0,-110.0,-110.0,100.0,,,,,,100.0,2,57.85,57.85,55.27,327.88,Yes,,EPA,2012-03-18,England,,South East Bench Press Championships
Ed Fitzpatrick,M,B,Multi-ply,59.0,55-59,Masters 50-59,106.14,110,,,,,,188.24,-207.52,-207.52,,188.24,,,,,,188.24,1,112.06,147.36,107.49,509.42,Yes,USA,APA,2007-09-30,USA,FL,Nationals
Jade Hayes,F,SBD,Single-ply,,,Girls,51.89,51.9,,,,,86.18,,,,,47.63,,,,,102.06,235.87,1,294.53,294.53,261.09,391.62,Yes,,THSWPA,2014-02-01,USA,TX,North Forney Invitational
Lori Bailey,F,BD,Raw,,45-49,Masters 45-49,66.86,67.5,,,,,,62.5,67.5,70.0,-73.0,70.0,130.0,137.5,145.0,148.0,145.0,215.0,1,220.94,233.1,194.94,,Yes,,RAW,2018-08-03,USA,NC,Southern Open
Anna Nikitina,F,SBD,Wraps,,,Amateur Open,60.0,60,70.0,80.0,85.0,-87.5,85.0,40.0,45.0,50.0,,50.0,80.0,90.0,95.0,,95.0,230.0,6,256.42,256.42,226.56,400.32,,Russia,NAP,2015-10-16,Russia,,Golden Tiger Classic
Eduard Prilutskiy,M,D,Raw,40.0,40-44,M1,74.1,75,,,,,,,,,,,170.0,180.0,-185.0,,180.0,180.0,1,129.35,129.35,125.16,439.45,,Russia,GPC-RUS,2014-12-14,Russia,,Russian Championships
Aleksandr Belyaev,M,B,Raw,34.5,24-34,Open,99.7,105,,,,,,180.0,187.5,192.5,,192.5,,,,,,192.5,2,117.29,117.29,112.74,693.27,Yes,Russia,FPR,2014-12-13,Russia,CU,Chuvashskaya Bench Press Championships
Jerry Barnett,M,SBD,Wraps,40.0,40-44,MM1R,110.0,110,250.0,260.0,,,260.0,155.0,167.5,-175.0,,167.5,250.0,265.0,280.0,,280.0,707.5,1,416.36,416.36,398.84,601.87,,,UPA,2013-04-20,USA,IA,Powerlifting & Bench Press Nationals
Santos Garcia,M,SBD,Single-ply,,,Boys,112.13,124.7,,,,,219.99,,,,,120.2,,,,,183.7,523.9,3,306.56,306.56,293.43,384.49,Yes,,THSPA,2018-01-24,USA,TX,Vidor Invitational
Thomas Adler,M,B,Single-ply,39.5,35-39,Masters 1,123.2,120+,,,,,,,,,,230.0,,,,,,230.0,2,131.46,131.46,125.3,546.54,Yes,,DSF,2011-02-04,Denmark,,ER Open Bænkpres
Nicole Choi,F,SBD,Raw,29.0,24-34,Open,73.75,75,,,,,-110.0,,,,,65.0,,,,,145.0,,DQ,,,,,,,USPA,2015-04-18,USA,CA,San Diego Open
Josh Cohen,M,SBD,Raw,,,MR-O,123.6,120+,,,,,113.4,,,,,83.9,,,,,117.9,315.2,6,180.03,180.03,171.58,203.89,Yes,,USAPL,2015-05-23,USA,AK,Ketchikan
Laurie Greenidge,M,SBD,Single-ply,52.5,50-54,Open,82.5,82.5,,,,,192.5,,,,,145.0,,,,,200.0,537.5,1,360.07,419.49,347.62,462.39,Yes,Canada,CPU,2001-05-26,Canada,ON,5th Annual London Open Powerlifting Championships
Guðni Sigurjónsson,M,SBD,Single-ply,26.5,24-34,Open,104.5,110,,,,,300.0,,,,,185.0,,,,,315.0,800.0,3,478.85,478.85,459.56,579.28,Yes,Iceland,EPF,1990-05-06,Finland,,Men's European Powerlifting Championships
Sheldon Woolford,M,SBD,Single-ply,,,Boys,67.49,74.8,,,,,99.79,,,,,70.31,,,,,115.67,285.76,11,220.35,220.35,213.74,308.67,Yes,,THSPA,2019-01-12,USA,TX,Navarro Panthers
Bobby Hickson,M,SBD,Wraps,21.0,20-23,MJR,81.8,82.5,132.5,155.0,-165.0,,155.0,65.0,70.0,,,70.0,157.5,177.5,-192.5,,177.5,402.5,1,271.03,276.45,261.7,376.29,,,UPA,2011-04-16,USA,IL,Powerlifting & Bench Press National Championships
Sylvia Szarvas,F,B,Raw,32.0,24-34,Open,83.55,84,,,,,,112.5,117.5,120.0,,120.0,,,,,,120.0,1,107.3,107.3,93.84,835.97,Yes,Germany,BVDK,2016-11-05,Germany,BY,DM RAW Bankdruecken
Felix Natzschka,M,B,Raw,21.5,20-23,Juniors,112.5,115,,,,,,210.0,225.0,230.0,,230.0,,,,,,230.0,1,134.46,135.8,128.68,770.03,,Germany,IRP,2012-11-17,Germany,,World Single Lift Championships
Hannah Hall,F,SBD,Single-ply,,,Girls,95.98,100,,,,,158.76,,,,,74.84,,,,,163.29,396.89,1,334.74,334.74,289.0,467.85,Yes,,THSWPA,2014-03-14,USA,TX,Girls State Meet
Carlos Romeero,M,SBD,Single-ply,,,Boys,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,,THSPA,2017-02-18,USA,TX,Javelina Powerfest
