Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Michael Oszwald,M,SBD,Single-ply,37.5,35-39,Open,99.5,100,250.0,-260.0,265.0,,265.0,150.0,157.5,-160.0,,157.5,250.0,260.0,-265.0,,260.0,682.5,9,416.2,416.2,400.06,515.02,Yes,Austria,EPF,2003-05-08,Bulgaria,,Men's European Powerlifting Championships
Zach Jones,M,SBD,Single-ply,,,Boys,115.3,124.7,,,,,151.95,,,,,79.38,,,,,156.49,387.82,8,225.19,225.19,215.29,294.5,Yes,,THSPA,2015-01-31,USA,TX,Highland Park Amarillo Classic
Matt Douglas,M,SBD,Single-ply,,,Boys,101.65,109.7,,,,,238.14,,,,,158.76,,,,,206.38,603.28,2,364.81,364.81,350.43,456.58,Yes,,THSPA,2010-01-25,USA,TX,WEST BROOK INVITATIONAL
Flora,M,SBD,Single-ply,,,Masters 40-44,90.0,90,,,,,272.5,,,,,125.0,,,,,290.0,687.5,1,438.9,438.9,422.95,547.14,Yes,,NASA,1995-06-02,USA,NV,Masters Nationals
Lindsey Higgins,F,SBD,Wraps,29.0,24-34,Open,65.32,67.5,,,,,95.25,,,,,58.97,,,,,131.54,285.76,1,298.7,298.7,263.64,483.95,,,SPF,2015-10-17,USA,KY,TPS Classic
T. Lewis,M,SBD,Single-ply,,,Varsity,93.89,99.7,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSPA,2010-01-16,USA,TX,NEDERLAND INVITATIONAL MEET
Chris Jenkins,M,SBD,Raw,,,Open,82.2,83,,,,,212.5,,,,,130.0,,,,,230.0,572.5,3,384.36,384.36,371.09,569.09,Yes,UK,CPU,2018-06-09,Canada,ON,Niagara Open
Chad Childs,M,SBD,Single-ply,,,Boys,116.57,124.7,,,,,210.92,,,,,147.42,,,,,204.12,562.45,3,325.66,325.66,311.2,401.32,Yes,,THSPA,2011-01-29,USA,TX,6th Annual Smithville Invitational
Judy Vierra,F,D,Single-ply,,,Open,60.0,60,,,,,,,,,,,,,,147.5,143.5,143.5,1,159.99,159.99,141.36,515.33,Yes,,WABDL,2015-02-15,USA,HI,Sonny's Push/Pull
Kasandra Ibarra,F,SBD,Single-ply,,,Girls,55.25,56,,,,,102.06,,,,,52.16,,,,,111.13,265.35,2,315.53,315.53,279.18,417.34,Yes,,THSWPA,2016-01-30,USA,TX,Comanche Invitational
Summer Garza,F,SBD,Single-ply,,,Girls,43.73,44.2,,,,,83.91,,,,,36.29,,,,,92.99,213.19,5,301.42,301.42,270.54,389.63,Yes,,THSWPA,2014-01-25,USA,TX,San Diego Brush Country Classic
Correy Wallace,M,SBD,Single-ply,,,Boys,90.45,99.7,,,,,170.1,,,,,102.06,,,,,197.31,469.47,4,298.95,298.95,288.06,390.72,Yes,,THSPA,2013-02-02,USA,TX,3rd Annual Orange Grove Invitational
Betty Gray,F,SBD,Raw,54.5,50-54,F-C-M2,106.6,84+,125.0,135.0,142.5,,142.5,57.5,62.5,65.0,,65.0,180.0,190.0,-200.0,,190.0,397.5,1,325.46,391.85,277.32,555.43,Yes,UK,BP,2017-03-11,UK,,British Masters Classic
Cheryl Woods,F,SBD,Single-ply,,,Open,90.0,90,,,,,75.0,,,,,47.5,,,,,112.5,235.0,9,203.06,203.06,176.5,327.57,Yes,,USPF,1984-05-05,USA,CA,California Drug Tested Championships
Blake Kight,M,SBD,Single-ply,,,Boys,108.23,109.7,,,,,167.83,,,,,108.86,,,,,201.85,478.54,1,283.06,283.06,271.32,361.98,Yes,,THSPA,2012-02-09,USA,TX,Lumberton HS Boys Division
Michael Frey,M,SBD,Raw,59.0,55-59,Masters 55-59,73.8,75,,,,,140.0,,,,,115.0,,,,,150.0,405.0,1,291.88,383.83,282.45,410.14,Yes,USA,RAW,2018-10-11,USA,VA,World Championships
Mikhaylo Sizikh,M,B,Raw,51.5,50-54,Pro Masters 50-54,79.0,82.5,,,,,,-110.0,-110.0,-110.0,,,,,,,,,DQ,,,,,,Ukraine,WPAU,2013-07-05,Ukraine,,Iron Games
Tony Cliffe,M,SBD,Raw,30.5,24-34,Open,118.51,120,300.0,320.0,327.5,,327.5,210.0,222.5,230.0,,230.0,320.0,335.0,342.5,,342.5,900.0,3,518.96,518.96,495.56,756.33,Yes,UK,IPF,2015-06-05,Finland,,World Classic Powerlifting Championships
Bonnie Ngawaka,F,SBD,Wraps,32.0,24-34,Open,77.6,82.5,60.0,-67.5,-67.5,,60.0,32.5,40.0,42.5,,42.5,95.0,100.0,105.0,,105.0,207.5,1,193.21,193.21,169.71,328.03,,,GPC-NZ,2016-02-20,New Zealand,CAN,Christchurch Powerlifting and Bench Only Champs
Łukasz Kowalczyk,M,SBD,Raw,21.5,20-23,Juniors Under 34,80.8,83,105.0,110.0,112.5,,112.5,-100.0,100.0,105.0,,105.0,150.0,-160.0,160.0,,160.0,377.5,12,256.12,258.68,247.36,350.91,Yes,,PZKFiTS,2017-04-01,Poland,,Polish Classic Powerlifting Cup
Jeremy Turner,M,SBD,Single-ply,18.0,18-19,Boys,72.3,74.8,,,,,208.65,,,,,104.33,,,,,181.44,494.42,4,361.65,383.35,350.13,465.67,Yes,,THSPA,2013-01-19,USA,TX,Rusk Invitational
DeAnna Wood,F,SBD,Single-ply,14.5,13-15,Girls,88.81,90,,,,,102.06,,,,,83.91,,,,,113.4,299.37,6,260.14,306.96,226.39,388.67,Yes,,THSWPA,2017-01-21,USA,TX,UVALDE
Valery Tomilov,M,S,Wraps,53.0,50-54,M3,99.2,100,230.0,247.5,250.0,,250.0,,,,,,,,,,,250.0,1,152.64,180.73,146.73,617.17,,Israel,GPC,2018-09-16,Hungary,,World Championships
Hunter Dunn,M,D,Raw,16.0,16-17,Open,69.3,75,,,,,,,,,,,,,,,185.0,185.0,1,139.71,157.88,135.41,473.06,,,USPA,2018-06-03,USA,TX,Baddest Bench Deadliest Deadlift
Evgeniy Stegniy,M,B,Raw,,,Amateur Junior,77.1,82.5,,,,,,120.0,-127.5,127.5,,127.5,,,,,,127.5,4,89.16,89.16,86.19,546.93,,Russia,NAP,2015-10-16,Russia,,Golden Tiger Classic
Britany Carter,F,SBD,Single-ply,,,Girls,74.84,75,,,,,138.35,,,,,,,,,,147.42,,DQ,,,,,Yes,,THSWPA,2015-01-17,USA,TX,BOSQUEVILLE BULLDOG INVITATIONAL
Julie Buelte,F,SBD,Raw,41.5,40-44,FR-M1a,70.6,72,115.0,122.5,127.5,,127.5,52.5,55.0,57.5,,57.5,127.5,135.0,-142.5,,135.0,320.0,1,316.49,319.66,278.93,525.42,Yes,,USAPL,2018-07-28,USA,NH,Granite State Grand Prix
Dominique Moreland,M,SBD,Single-ply,,,Boys,55.34,55.7,,,,,172.37,,,,,90.72,,,,,199.58,462.66,5,426.12,426.12,416.97,529.32,Yes,,THSPA,2012-03-23,USA,TX,Boys State Meet
Zac Becker,M,SBD,Raw,,,M-C-U23,96.7,105,,,,,245.0,,,,,140.0,,,,,275.0,660.0,2,407.32,407.32,391.84,601.37,Yes,,EPA,2012-11-10,England,,Greater London Powerlifting Championships
Roman Anorin,M,SBD,Single-ply,20.5,20-23,Juniors,63.6,66,,,,,250.0,,,,,130.0,,,,,227.5,607.5,4,492.08,501.92,478.29,607.36,Yes,,FPR,2013-01-28,Russia,,Russian Powerlifting Championships
Cameron Williams,M,SBD,Single-ply,16.5,16-17,M-T2,100.29,105,215.5,,,,215.5,124.7,,,,124.7,238.1,,,,238.1,578.3,2,351.54,379.66,337.83,443.0,Yes,,USAPL,2019-02-09,USA,LA,Covington Qualifier
Tom Paull,M,SBD,Single-ply,,,Open,82.1,82.5,-260.0,-265.0,-265.0,,,,,,,,,,,,,,DQ,,,,,Yes,,ADFPA,1985-07-20,USA,PA,National Championships
Bryan Opitz,M,SBD,Raw,31.0,24-34,Open,89.5,90,,,,,200.0,,,,,140.0,,,,,227.5,567.5,1,363.32,363.32,350.17,531.56,,,USPA,2018-02-03,USA,VA,Piedmont Power Showcase
E. Thomas,M,D,Multi-ply,,,Open,82.5,82.5,,,,,,,,,,,,,,,,,DQ,,,,,Yes,USA,WABDL,1998-11-13,USA,OR,24 Hour Fitness World Bench Press and Deadlift
Ashton Ledford,F,SBD,Single-ply,,,Girls,50.8,51.9,,,,,61.23,,,,,36.29,,,,,70.31,167.83,10,213.01,213.01,189.0,310.18,Yes,,THSWPA,2019-01-12,USA,TX,Steer Invitational
Samantha Havens,F,SBD,Raw,29.5,24-34,FR-O,62.7,63,85.0,92.5,97.5,,97.5,57.5,65.0,-70.0,,65.0,125.0,135.0,137.5,,137.5,300.0,1,323.36,323.36,285.55,518.09,Yes,,USAPL,2019-02-10,USA,CA,Convoy Strength Open
Jon Cole #1,M,SBD,Single-ply,35.0,35-39,Open,110.0,110,,,,,365.0,,235.0,-242.5,,235.0,-332.5,-337.5,-337.5,,,,DQ,,,,,,,AAU,1978-08-26,USA,CA,Senior Nationals
Desmond Payton,M,SBD,Single-ply,,,Boys,83.1,89.8,,,,,258.55,,,,,102.06,,,,,254.01,614.62,3,409.97,409.97,395.73,518.05,Yes,,THSPA,2013-02-23,USA,TX,Navasota Rattler Powerlifting Invitational
Oleg Dolzhenko,M,B,Raw,37.5,35-39,O,126.5,140,,,,,,200.0,210.0,-220.0,,210.0,,,,,,210.0,4,119.38,119.38,113.65,658.31,,Ukraine,WPC,2011-11-14,Latvia,,World Championships
Vladislav Kobyzev,M,D,Raw,18.0,18-19,Pro Teen 16-17,72.0,75,,,,,,,,,,,-130.0,140.0,-150.0,,140.0,140.0,1,102.72,108.88,99.46,330.52,,,WPC-RUS,2018-02-25,Russia,,Saratov Open Championship
Sloane Dougherty,M,SBD,Raw,25.0,24-34,Open,133.1,120+,195.0,210.0,220.0,,220.0,-127.5,127.5,-140.0,,127.5,195.0,215.0,-227.5,,215.0,562.5,1,316.85,316.85,300.89,412.34,Yes,,NZPF,2017-04-22,New Zealand,WGN,CDPA Powerlifting Championships
Shaifulizzam Muhammed,M,SBD,Raw,40.5,40-44,Masters 1,131.1,120+,225.0,232.5,-235.0,,232.5,130.0,137.5,142.5,,142.5,247.5,260.0,280.5,,280.5,655.5,3,370.19,370.19,351.8,498.64,Yes,Singapore,AsianPF,2017-12-04,India,,Asian Classic Powerlifting Championships
Nick De Leon,M,SBD,Single-ply,,,Boys,60.37,67.1,,,,,190.51,,,,,97.52,,,,,188.24,476.27,4,403.93,403.93,393.47,508.85,Yes,,THSPA,2017-01-28,USA,TX,Viking Invitational Meet
Mark Cullimore,M,SBD,Multi-ply,42.5,40-44,Open,99.9,100,365.0,-405.0,-405.0,,365.0,225.0,235.0,-245.0,,235.0,290.0,-310.0,-317.5,,290.0,890.0,3,541.86,552.7,520.78,653.44,,UK,BPC,2008-07-12,England,,British Championships
Cameron Reyno,M,SBD,Raw,17.5,18-19,MR-TJ,89.9,93,165.0,175.0,180.0,,180.0,110.0,115.0,122.5,,122.5,190.0,200.0,215.0,,215.0,517.5,1,330.56,350.39,318.56,475.82,Yes,,USAPL,2019-02-16,USA,MA,Winter Classic and Northeast Collegiate Regional
