Lifter,Date,Fed,Location,Sex,Age,Equip,Class,Weight,Squat,Bench,Deadlift,Total,Dots
Zac Meyers,WRPF,2023-06-17,USA-MD,M,29,Raw,308,284.6,892.8,628.3,854.3,2375.4,604.61
Jaclyn Cornwell,APF,2021-04-10,USA-OH,F,33,Wraps,148,148.6,570,250,470,1290,604.60
Larry Williams #1,XPC,2020-03-07,USA-OH,M,25,Raw,308,283.6,870,645,855,2370,603.87
Petr Petráš,GPC-GUPU,2020-12-05,Ukraine,M,36,Wraps,308+,374.8,1036.1,639.3,881.8,2557.3,603.66
Carola Garra,IPF,2024-02-10,UK,F,29~,Raw,,148,485,330.7,468.4,1284.2,603.08
Danny Grigsby,WRPF,2023-03-25,USA,M,29,Raw,242,242,777.1,435.4,1030.6,2243.2,603.05
Hanna Luukkonen,FPO,2023-05-13,Finland,F,22,Wraps,165,160,523.6,287.7,529.1,1340.4,602.59
Jason Legrand,365Strong,2018-04-20,USA-NC,M,24,Wraps,242,238,909.4,485,832.2,2226.6,602.50
Rondel Hunte,USAPL,2023-09-14,USA-TN,M,26~,Raw,275,263.5,848.7,578.7,876.3,2303.8,600.92
Kevin Oak,WRPF,2016-08-19,USA-CA,M,30,Wraps,220,220.2,859.8,501.5,789.2,2150.6,600.75
Fernando Arias,WRPF,2023-10-28,USA-VA,M,27,Wraps,308,291,909.4,523.6,942.4,2375.4,600.59
Phillip Herndon,IPA,2023-06-25,USA-PA,M,28,Wraps,275,263.3,1000,500,800,2300,600.10
